===================================================================
Database Table Analysis Report
Generated: Sat Nov  8 09:13:21 PST 2025
Total databases: 10
Total tables: 646
===================================================================

Database                       | Table                          | Size         | Rows         | Engine  
onestopshop_db                 | sales_creditmemo               | 160.0KB      | 0            | mysql   
onestopshop_db                 | sales_shipment                 | 144.0KB      | 0            | mysql   
onestopshop_db                 | customer_grid_flat             | 144.0KB      | 27           | mysql   
onestopshop_db                 | cron_schedule                  | 144.0KB      | 522          | mysql   
onestopshop_db                 | catalog_category_entity_var... | 144.0KB      | 906          | mysql   
gitea_db                       | action                         | 144.0KB      | 14           | postgres
miniflux_db                    | entries                        | 136.0KB      | 0            | postgres
vwa-classifieds_db             | oc_t_user                      | 128.0KB      | 0            | mysql   
onestopshop_db                 | quote                          | 128.0KB      | 261          | mysql   
onestopshop_db                 | inventory_reservation          | 128.0KB      | 547          | mysql   
onestopshop_db                 | directory_country_region_name  | 128.0KB      | 1,121        | mysql   
onestopshop_db                 | catalog_category_entity_int    | 128.0KB      | 906          | mysql   
northwind_db                   | purchase_order_details         | 128.0KB      | 55           | mysql   
northwind_db                   | inventory_transactions         | 128.0KB      | 102          | mysql   
postmill_db                    | forums                         | 128.0KB      | 68           | postgres
gitea_db                       | user                           | 128.0KB      | 15           | postgres
focalboard_db                  | boards                         | 120.0KB      | 13           | postgres
onestopshop_db                 | quote_item_option              | 112.0KB      | 1,063        | mysql   
onestopshop_db                 | catalogrule_product            | 112.0KB      | 0            | mysql   
onestopshop_db                 | catalogrule_product_replica    | 112.0KB      | 0            | mysql   
northwind_db                   | suppliers                      | 112.0KB      | 10           | mysql   
northwind_db                   | shippers                       | 112.0KB      | 3            | mysql   
northwind_db                   | purchase_orders                | 112.0KB      | 28           | mysql   
northwind_db                   | employees                      | 112.0KB      | 9            | mysql   
northwind_db                   | customers                      | 112.0KB      | 29           | mysql   
gitea_db                       | login_source                   | 112.0KB      | 1            | postgres
gitea_db                       | issue                          | 104.0KB      | 0            | postgres
onestopshop_db                 | ui_bookmark                    | 96.0KB       | 34           | mysql   
onestopshop_db                 | search_query                   | 96.0KB       | 117          | mysql   
onestopshop_db                 | sales_order_address            | 96.0KB       | 378          | mysql   
onestopshop_db                 | report_viewed_product_index    | 96.0KB       | 0            | mysql   
onestopshop_db                 | report_event                   | 96.0KB       | 0            | mysql   
onestopshop_db                 | report_compared_product_index  | 96.0KB       | 0            | mysql   
onestopshop_db                 | oauth_token                    | 96.0KB       | 0            | mysql   
onestopshop_db                 | directory_country_region       | 96.0KB       | 1,121        | mysql   
onestopshop_db                 | customer_entity                | 96.0KB       | 27           | mysql   
onestopshop_db                 | catalog_compare_item           | 96.0KB       | 3            | mysql   
gitea_db                       | repo_unit                      | 96.0KB       | 80           | postgres
gitea_db                       | oauth2_application             | 96.0KB       | 3            | postgres
gitea_db                       | comment                        | 96.0KB       | 0            | postgres
gitea_db                       | action_task                    | 96.0KB       | 0            | postgres
auth_db                        | users                          | 96.0KB       | 13           | postgres
auth_db                        | hydra_jwk                      | 96.0KB       | 1            | postgres
gitea_db                       | org_user                       | 88.0KB       | 5            | postgres
gitea_db                       | action_run                     | 88.0KB       | 0            | postgres
focalboard_db                  | boards_history                 | 88.0KB       | 13           | postgres
auth_db                        | schema_migration               | 88.0KB       | 206          | postgres
onestopshop_db                 | weee_tax                       | 80.0KB       | 0            | mysql   
onestopshop_db                 | tax_calculation                | 80.0KB       | 0            | mysql   
onestopshop_db                 | store                          | 80.0KB       | 2            | mysql   
onestopshop_db                 | search_synonyms                | 80.0KB       | 0            | mysql   
onestopshop_db                 | sales_order_payment            | 80.0KB       | 189          | mysql   
onestopshop_db                 | quote_address_item             | 80.0KB       | 0            | mysql   
onestopshop_db                 | product_alert_stock            | 80.0KB       | 0            | mysql   
onestopshop_db                 | product_alert_price            | 80.0KB       | 0            | mysql   
onestopshop_db                 | persistent_session             | 80.0KB       | 0            | mysql   
onestopshop_db                 | oauth_consumer                 | 80.0KB       | 0            | mysql   
onestopshop_db                 | eav_entity_varchar             | 80.0KB       | 0            | mysql   
onestopshop_db                 | eav_entity_text                | 80.0KB       | 0            | mysql   
onestopshop_db                 | eav_entity_int                 | 80.0KB       | 0            | mysql   
onestopshop_db                 | eav_entity_decimal             | 80.0KB       | 0            | mysql   
onestopshop_db                 | eav_entity_datetime            | 80.0KB       | 0            | mysql   
onestopshop_db                 | eav_entity_attribute           | 80.0KB       | 134          | mysql   
onestopshop_db                 | design_config_grid_flat        | 80.0KB       | 3            | mysql   
onestopshop_db                 | catalogrule_product_price      | 80.0KB       | 0            | mysql   
onestopshop_db                 | catalogrule_product_price_r... | 80.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_entity_gallery | 80.0KB       | 0            | mysql   
onestopshop_db                 | catalog_category_entity        | 80.0KB       | 303          | mysql   
onestopshop_db                 | catalog_category_entity_text   | 80.0KB       | 0            | mysql   
onestopshop_db                 | catalog_category_entity_dec... | 80.0KB       | 0            | mysql   
onestopshop_db                 | catalog_category_entity_dat... | 80.0KB       | 0            | mysql   
onestopshop_db                 | authorization_rule             | 80.0KB       | 266          | mysql   
onestopshop_db                 | adobe_stock_asset              | 80.0KB       | 0            | mysql   
postmill_db                    | submission_votes               | 80.0KB       | 1            | postgres
gitea_db                       | reaction                       | 80.0KB       | 0            | postgres
gitea_db                       | package_blob                   | 80.0KB       | 0            | postgres
gitea_db                       | email_address                  | 80.0KB       | 13           | postgres
gitea_db                       | branch                         | 80.0KB       | 1            | postgres
gitea_db                       | action_artifact                | 80.0KB       | 0            | postgres
gitea_db                       | watch                          | 72.0KB       | 10           | postgres
gitea_db                       | release                        | 72.0KB       | 0            | postgres
gitea_db                       | notification                   | 72.0KB       | 0            | postgres
gitea_db                       | commit_status                  | 72.0KB       | 0            | postgres
vwa-classifieds_db             | oc_t_region                    | 64.0KB       | 51           | mysql   
vwa-classifieds_db             | oc_t_preference                | 64.0KB       | 222          | mysql   
vwa-classifieds_db             | oc_t_keywords                  | 64.0KB       | 0            | mysql   
onestopshop_db                 | wishlist_item                  | 64.0KB       | 2            | mysql   
onestopshop_db                 | vault_payment_token            | 64.0KB       | 0            | mysql   
onestopshop_db                 | tax_calculation_rate           | 64.0KB       | 2            | mysql   
onestopshop_db                 | store_website                  | 64.0KB       | 2            | mysql   
onestopshop_db                 | store_group                    | 64.0KB       | 2            | mysql   
onestopshop_db                 | salesrule_product_attribute    | 64.0KB       | 0            | mysql   
onestopshop_db                 | salesrule_coupon               | 64.0KB       | 0            | mysql   
onestopshop_db                 | salesrule_coupon_aggregated    | 64.0KB       | 0            | mysql   
onestopshop_db                 | salesrule_coupon_aggregated... | 64.0KB       | 0            | mysql   
onestopshop_db                 | salesrule_coupon_aggregated... | 64.0KB       | 0            | mysql   
onestopshop_db                 | sales_shipment_track           | 64.0KB       | 0            | mysql   
onestopshop_db                 | sales_payment_transaction      | 64.0KB       | 0            | mysql   
onestopshop_db                 | sales_order_tax_item           | 64.0KB       | 0            | mysql   
onestopshop_db                 | sales_bestsellers_aggregate... | 64.0KB       | 0            | mysql   
onestopshop_db                 | sales_bestsellers_aggregate... | 64.0KB       | 0            | mysql   
onestopshop_db                 | sales_bestsellers_aggregate... | 64.0KB       | 0            | mysql   
onestopshop_db                 | report_viewed_product_aggre... | 64.0KB       | 0            | mysql   
onestopshop_db                 | report_viewed_product_aggre... | 64.0KB       | 0            | mysql   
onestopshop_db                 | report_viewed_product_aggre... | 64.0KB       | 0            | mysql   
onestopshop_db                 | quote_shipping_rate            | 64.0KB       | 189          | mysql   
onestopshop_db                 | queue_message                  | 64.0KB       | 190          | mysql   
onestopshop_db                 | queue_message_status           | 64.0KB       | 190          | mysql   
onestopshop_db                 | newsletter_template            | 64.0KB       | 0            | mysql   
onestopshop_db                 | newsletter_subscriber          | 64.0KB       | 0            | mysql   
onestopshop_db                 | media_gallery_asset            | 64.0KB       | 0            | mysql   
onestopshop_db                 | magento_bulk                   | 64.0KB       | 0            | mysql   
onestopshop_db                 | layout_link                    | 64.0KB       | 0            | mysql   
onestopshop_db                 | inventory_source_stock_link    | 64.0KB       | 0            | mysql   
onestopshop_db                 | email_template                 | 64.0KB       | 0            | mysql   
onestopshop_db                 | eav_form_element               | 64.0KB       | 42           | mysql   
onestopshop_db                 | eav_attribute_option_swatch    | 64.0KB       | 0            | mysql   
onestopshop_db                 | eav_attribute_group            | 64.0KB       | 20           | mysql   
onestopshop_db                 | downloadable_link_purchased    | 64.0KB       | 0            | mysql   
onestopshop_db                 | downloadable_link_purchased... | 64.0KB       | 0            | mysql   
onestopshop_db                 | customer_entity_varchar        | 64.0KB       | 0            | mysql   
onestopshop_db                 | customer_entity_int            | 64.0KB       | 0            | mysql   
onestopshop_db                 | customer_entity_decimal        | 64.0KB       | 0            | mysql   
onestopshop_db                 | customer_entity_datetime       | 64.0KB       | 0            | mysql   
onestopshop_db                 | customer_address_entity_var... | 64.0KB       | 0            | mysql   
onestopshop_db                 | customer_address_entity_int    | 64.0KB       | 0            | mysql   
onestopshop_db                 | customer_address_entity_dec... | 64.0KB       | 0            | mysql   
onestopshop_db                 | customer_address_entity_dat... | 64.0KB       | 0            | mysql   
onestopshop_db                 | cms_page                       | 64.0KB       | 4            | mysql   
onestopshop_db                 | cms_block                      | 64.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_link           | 64.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_price... | 64.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_eav_tmp  | 64.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_eav_idx  | 64.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_eav_d... | 64.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_eav_d... | 64.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_eav_d... | 64.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_eav_d... | 64.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_frontend_ac... | 64.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_entity_tier... | 64.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_entity_date... | 64.0KB       | 0            | mysql   
onestopshop_db                 | adminnotification_inbox        | 64.0KB       | 2            | mysql   
northwind_db                   | invoices                       | 64.0KB       | 35           | mysql   
northwind_db                   | employee_privileges            | 64.0KB       | 0            | mysql   
miniflux_db                    | users                          | 64.0KB       | 13           | postgres
gitea_db                       | team_invite                    | 64.0KB       | 0            | postgres
gitea_db                       | pull_request                   | 64.0KB       | 0            | postgres
gitea_db                       | project                        | 64.0KB       | 0            | postgres
gitea_db                       | package_file                   | 64.0KB       | 0            | postgres
gitea_db                       | auth_token                     | 64.0KB       | 1            | postgres
gitea_db                       | action_runner                  | 64.0KB       | 0            | postgres
gitea_db                       | action_run_job                 | 64.0KB       | 0            | postgres
auth_db                        | hydra_oauth2_flow              | 64.0KB       | 0            | postgres
postmill_db                    | migration_versions             | 56.0KB       | 112          | postgres
postmill_db                    | forum_log_entries              | 56.0KB       | 0            | postgres
gitea_db                       | webhook                        | 56.0KB       | 0            | postgres
gitea_db                       | webauthn_credential            | 56.0KB       | 0            | postgres
gitea_db                       | team_user                      | 56.0KB       | 5            | postgres
gitea_db                       | team_unit                      | 56.0KB       | 34           | postgres
gitea_db                       | team_repo                      | 56.0KB       | 4            | postgres
gitea_db                       | package                        | 56.0KB       | 0            | postgres
gitea_db                       | package_version                | 56.0KB       | 0            | postgres
gitea_db                       | attachment                     | 56.0KB       | 0            | postgres
gitea_db                       | access_token                   | 56.0KB       | 0            | postgres
focalboard_db                  | board_members_history          | 56.0KB       | 13           | postgres
auth_db                        | hydra_oauth2_refresh           | 56.0KB       | 0            | postgres
auth_db                        | hydra_oauth2_access            | 56.0KB       | 0            | postgres
vwa-classifieds_db             | oc_t_item_meta                 | 48.0KB       | 0            | mysql   
vwa-classifieds_db             | oc_t_item_comment              | 48.0KB       | 0            | mysql   
vwa-classifieds_db             | oc_t_country                   | 48.0KB       | 0            | mysql   
vwa-classifieds_db             | oc_t_city_area                 | 48.0KB       | 0            | mysql   
vwa-classifieds_db             | oc_t_category                  | 48.0KB       | 23           | mysql   
vwa-classifieds_db             | oc_t_category_description      | 48.0KB       | 23           | mysql   
vwa-classifieds_db             | oc_t_admin                     | 48.0KB       | 0            | mysql   
onestopshop_db                 | wishlist                       | 48.0KB       | 5            | mysql   
onestopshop_db                 | variable_value                 | 48.0KB       | 0            | mysql   
onestopshop_db                 | tax_order_aggregated_updated   | 48.0KB       | 0            | mysql   
onestopshop_db                 | tax_order_aggregated_created   | 48.0KB       | 0            | mysql   
onestopshop_db                 | tax_calculation_rule           | 48.0KB       | 0            | mysql   
onestopshop_db                 | tax_calculation_rate_title     | 48.0KB       | 0            | mysql   
onestopshop_db                 | sendfriend_log                 | 48.0KB       | 0            | mysql   
onestopshop_db                 | salesrule_label                | 48.0KB       | 0            | mysql   
onestopshop_db                 | salesrule_customer             | 48.0KB       | 0            | mysql   
onestopshop_db                 | sales_shipping_aggregated      | 48.0KB       | 0            | mysql   
onestopshop_db                 | sales_shipping_aggregated_o... | 48.0KB       | 0            | mysql   
onestopshop_db                 | sales_shipment_comment         | 48.0KB       | 0            | mysql   
onestopshop_db                 | sales_refunded_aggregated      | 48.0KB       | 0            | mysql   
onestopshop_db                 | sales_refunded_aggregated_o... | 48.0KB       | 0            | mysql   
onestopshop_db                 | sales_order_status_history     | 48.0KB       | 0            | mysql   
onestopshop_db                 | sales_order_aggregated_updated | 48.0KB       | 0            | mysql   
onestopshop_db                 | sales_order_aggregated_created | 48.0KB       | 0            | mysql   
onestopshop_db                 | sales_invoiced_aggregated      | 48.0KB       | 0            | mysql   
onestopshop_db                 | sales_invoiced_aggregated_o... | 48.0KB       | 0            | mysql   
onestopshop_db                 | sales_invoice_comment          | 48.0KB       | 0            | mysql   
onestopshop_db                 | sales_creditmemo_comment       | 48.0KB       | 0            | mysql   
onestopshop_db                 | rating                         | 48.0KB       | 4            | mysql   
onestopshop_db                 | quote_id_mask                  | 48.0KB       | 8            | mysql   
onestopshop_db                 | paypal_billing_agreement       | 48.0KB       | 0            | mysql   
onestopshop_db                 | password_reset_request_event   | 48.0KB       | 0            | mysql   
onestopshop_db                 | pagebuilder_template           | 48.0KB       | 0            | mysql   
onestopshop_db                 | oauth_nonce                    | 48.0KB       | 0            | mysql   
onestopshop_db                 | newsletter_queue_link          | 48.0KB       | 0            | mysql   
onestopshop_db                 | newsletter_problem             | 48.0KB       | 0            | mysql   
onestopshop_db                 | mview_state                    | 48.0KB       | 0            | mysql   
onestopshop_db                 | media_gallery_keyword          | 48.0KB       | 0            | mysql   
onestopshop_db                 | media_gallery_asset_keyword    | 48.0KB       | 0            | mysql   
onestopshop_db                 | magento_operation              | 48.0KB       | 0            | mysql   
onestopshop_db                 | integration                    | 48.0KB       | 0            | mysql   
onestopshop_db                 | eav_form_type                  | 48.0KB       | 4            | mysql   
onestopshop_db                 | eav_entity                     | 48.0KB       | 0            | mysql   
onestopshop_db                 | eav_entity_store               | 48.0KB       | 0            | mysql   
onestopshop_db                 | eav_attribute                  | 48.0KB       | 136          | mysql   
onestopshop_db                 | eav_attribute_set              | 48.0KB       | 8            | mysql   
onestopshop_db                 | eav_attribute_option_value     | 48.0KB       | 3            | mysql   
onestopshop_db                 | eav_attribute_label            | 48.0KB       | 0            | mysql   
onestopshop_db                 | downloadable_sample_title      | 48.0KB       | 0            | mysql   
onestopshop_db                 | downloadable_link_title        | 48.0KB       | 0            | mysql   
onestopshop_db                 | downloadable_link_price        | 48.0KB       | 0            | mysql   
onestopshop_db                 | customer_visitor               | 48.0KB       | 46           | mysql   
onestopshop_db                 | customer_entity_text           | 48.0KB       | 0            | mysql   
onestopshop_db                 | customer_address_entity_text   | 48.0KB       | 0            | mysql   
onestopshop_db                 | catalogsearch_recommendations  | 48.0KB       | 0            | mysql   
onestopshop_db                 | catalogrule_group_website      | 48.0KB       | 0            | mysql   
onestopshop_db                 | catalogrule_group_website_r... | 48.0KB       | 0            | mysql   
onestopshop_db                 | cataloginventory_stock_stat... | 48.0KB       | 0            | mysql   
onestopshop_db                 | cataloginventory_stock_stat... | 48.0KB       | 0            | mysql   
onestopshop_db                 | catalog_url_rewrite_product... | 48.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_super_link     | 48.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_super_attri... | 48.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_option_price   | 48.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_link_attrib... | 48.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_link_attrib... | 48.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_link_attrib... | 48.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_index_tier_... | 48.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_bundle_sele... | 48.0KB       | 0            | mysql   
onestopshop_db                 | catalog_product_bundle_pric... | 48.0KB       | 0            | mysql   
onestopshop_db                 | catalog_eav_attribute          | 48.0KB       | 92           | mysql   
onestopshop_db                 | catalog_compare_list           | 48.0KB       | 0            | mysql   
onestopshop_db                 | catalog_category_product_index | 48.0KB       | 0            | mysql   
onestopshop_db                 | catalog_category_product_in... | 48.0KB       | 0            | mysql   
onestopshop_db                 | braintree_credit_prices        | 48.0KB       | 0            | mysql   
onestopshop_db                 | authorization_role             | 48.0KB       | 3            | mysql   
onestopshop_db                 | admin_user_session             | 48.0KB       | 57           | mysql   
onestopshop_db                 | admin_adobe_ims_webapi         | 48.0KB       | 0            | mysql   
postmill_db                    | sites                          | 48.0KB       | 1            | postgres
postmill_db                    | notifications                  | 48.0KB       | 0            | postgres
miniflux_db                    | categories                     | 48.0KB       | 13           | postgres
gitea_db                       | team                           | 48.0KB       | 4            | postgres
gitea_db                       | task                           | 48.0KB       | 0            | postgres
gitea_db                       | system_setting                 | 48.0KB       | 3            | postgres
gitea_db                       | review                         | 48.0KB       | 0            | postgres
gitea_db                       | package_cleanup_rule           | 48.0KB       | 0            | postgres
gitea_db                       | label                          | 48.0KB       | 0            | postgres
gitea_db                       | collaboration                  | 48.0KB       | 0            | postgres
gitea_db                       | action_task_step               | 48.0KB       | 0            | postgres
auth_db                        | hydra_client                   | 48.0KB       | 4            | postgres
postmill_db                    | user_blocks                    | 40.0KB       | 0            | postgres
postmill_db                    | forum_bans                     | 40.0KB       | 0            | postgres
postmill_db                    | comment_votes                  | 40.0KB       | 0            | postgres
miniflux_db                    | feeds                          | 40.0KB       | 0            | postgres
gitea_db                       | user_setting                   | 40.0KB       | 0            | postgres
gitea_db                       | two_factor                     | 40.0KB       | 0            | postgres
gitea_db                       | secret                         | 40.0KB       | 0            | postgres
gitea_db                       | repo_license                   | 40.0KB       | 0            | postgres
gitea_db                       | package_property               | 40.0KB       | 0            | postgres
gitea_db                       | oauth2_grant                   | 40.0KB       | 0            | postgres
gitea_db                       | mirror                         | 40.0KB       | 0            | postgres
gitea_db                       | milestone                      | 40.0KB       | 0            | postgres
gitea_db                       | lfs_meta_object                | 40.0KB       | 0            | postgres
gitea_db                       | language_stat                  | 40.0KB       | 0            | postgres
gitea_db                       | issue_content_history          | 40.0KB       | 0            | postgres
gitea_db                       | email_hash                     | 40.0KB       | 4            | postgres
gitea_db                       | deploy_key                     | 40.0KB       | 0            | postgres
gitea_db                       | commit_status_summary          | 40.0KB       | 0            | postgres
gitea_db                       | access                         | 40.0KB       | 4            | postgres
focalboard_db                  | categories                     | 40.0KB       | 1            | postgres
focalboard_db                  | board_members                  | 40.0KB       | 13           | postgres
auth_db                        | migrations                     | 40.0KB       | 1            | postgres
auth_db                        | hydra_oauth2_trusted_jwt_be... | 40.0KB       | 0            | postgres
auth_db                        | hydra_oauth2_pkce              | 40.0KB       | 0            | postgres
auth_db                        | hydra_oauth2_oidc              | 40.0KB       | 0            | postgres
auth_db                        | hydra_oauth2_code              | 40.0KB       | 0            | postgres
vwa-classifieds_db             | oc_t_user_description          | 32.0KB       | 0            | mysql   
vwa-classifieds_db             | oc_t_region_stats              | 32.0KB       | 12           | mysql   
vwa-classifieds_db             | oc_t_plugin_category           | 32.0KB       | 0            | mysql   
vwa-classifieds_db             | oc_t_pages_description         | 32.0KB       | 23           | mysql   
vwa-classifieds_db             | oc_t_meta_categories           | 32.0KB       | 0            | mysql   
vwa-classifieds_db             | oc_t_locale                    | 32.0KB       | 0            | mysql   
vwa-classifieds_db             | oc_t_currency                  | 32.0KB       | 3            | mysql   
vwa-classifieds_db             | oc_t_country_stats             | 32.0KB       | 0            | mysql   
onestopshop_db                 | wishlist_item_option           | 32.0KB       | 2            | mysql   
onestopshop_db                 | widget                         | 32.0KB       | 0            | mysql   
onestopshop_db                 | widget_instance                | 32.0KB       | 0            | mysql   
onestopshop_db                 | widget_instance_page           | 32.0KB       | 0            | mysql   
onestopshop_db                 | widget_instance_page_layout    | 32.0KB       | 0            | mysql   
onestopshop_db                 | vault_payment_token_order_p... | 32.0KB       | 0            | mysql   
onestopshop_db                 | variable                       | 32.0KB       | 0            | mysql   
onestopshop_db                 | translation                    | 32.0KB       | 0            | mysql   
onestopshop_db                 | theme_file                     | 32.0KB       | 0            | mysql   
onestopshop_db                 | sitemap                        | 32.0KB       | 0            | mysql   
onestopshop_db                 | shipping_tablerate             | 32.0KB       | 0            | mysql   
onestopshop_db                 | salesrule                      | 32.0KB       | 0            | mysql   
onestopshop_db                 | salesrule_website              | 32.0KB       | 0            | mysql   
onestopshop_db                 | salesrule_customer_group       | 32.0KB       | 0            | mysql   
onestopshop_db                 | salesrule_coupon_usage         | 32.0KB       | 0            | mysql   
onestopshop_db                 | sales_shipment_item            | 32.0KB       | 3            | mysql   
onestopshop_db                 | sales_sequence_profile         | 32.0KB       | 8            | mysql   
onestopshop_db                 | sales_sequence_meta            | 32.0KB       | 8            | mysql   
onestopshop_db                 | sales_order_tax                | 32.0KB       | 0            | mysql   
onestopshop_db                 | sales_order_status_label       | 32.0KB       | 0            | mysql   
onestopshop_db                 | sales_invoice_item             | 32.0KB       | 3            | mysql   
onestopshop_db                 | sales_creditmemo_item          | 32.0KB       | 0            | mysql   
onestopshop_db                 | release_notification_viewer... | 32.0KB       | 0            | mysql   
onestopshop_db                 | rating_title                   | 32.0KB       | 0            | mysql   
onestopshop_db                 | rating_store                   | 32.0KB       | 4            | mysql   
onestopshop_db                 | rating_option                  | 32.0KB       | 20           | mysql   
onestopshop_db                 | rating_entity                  | 32.0KB       | 3            | mysql   
onestopshop_db                 | quote_payment                  | 32.0KB       | 189          | mysql   
onestopshop_db                 | queue                          | 32.0KB       | 19           | mysql   
onestopshop_db                 | queue_lock                     | 32.0KB       | 190          | mysql   
onestopshop_db                 | paypal_settlement_report       | 32.0KB       | 0            | mysql   
